vendor_id,chain_id,city_name,specialisation,successful_orders,fail_orders,reorders
28957,20633,Архангельск,Супы,0.0,2.0,0.0
37381,27399,Архангельск,Пироги,0.0,0.0,0.0
28703,20431,Архангельск,Суши,111.0,3.0,0.0
37382,27399,Архангельск,Пироги,1.0,0.0,0.0
36877,27151,Архангельск,Бургеры,22.0,2.0,0.0
37650,27579,Архангельск,Суши,3.0,0.0,0.0
37127,27250,Астрахань,Суши,55.0,5.0,6.0
28476,20266,Астрахань,Суши,342.0,13.0,14.0
28478,20266,Астрахань,Суши,194.0,1.0,7.0
34127,25077,Астрахань,Пицца,136.0,4.0,1.0
28477,20266,Астрахань,Суши,74.0,1.0,1.0
36291,26766,Астрахань,Суши,23.0,1.0,2.0
37437,27433,Астрахань,Шашлыки,112.0,1.0,0.0
28517,20303,Астрахань,Пицца,142.0,4.0,4.0
29027,20695,Астрахань,Суши,5.0,0.0,0.0
37128,27251,Астрахань,Пицца,12.0,2.0,0.0
28548,20332,Астрахань,Пицца,79.0,1.0,2.0
33322,24386,Астрахань,Суши,0.0,1.0,1.0
28515,20301,Астрахань,Пицца,192.0,1.0,0.0
28473,20266,Астрахань,Суши,98.0,3.0,1.0
37563,27522,Барнаул,Пироги,4.0,1.0,0.0
13235,8084,Барнаул,Пицца,37.0,0.0,0.0
37071,27228,Барнаул,Шашлыки,12.0,0.0,0.0
36097,26628,Барнаул,Шашлыки,7.0,1.0,1.0
36197,26686,Барнаул,Выпечка,3.0,1.0,0.0
19795,13029,Барнаул,Суши,881.0,7.0,4.0
10892,6596,Барнаул,Суши,84.0,2.0,0.0
18166,11669,Барнаул,Шашлыки,98.0,4.0,3.0
13191,8084,Барнаул,Пицца,105.0,0.0,1.0
35749,26386,Барнаул,Пицца,80.0,0.0,1.0
9255,5466,Барнаул,Суши,52.0,0.0,1.0
13236,8084,Барнаул,Пицца,76.0,3.0,0.0
10036,5958,Барнаул,Шашлыки,92.0,0.0,0.0
36753,27073,Барнаул,Суши,109.0,2.0,0.0
35330,26147,Белгород,Суши,49.0,0.0,1.0
35602,26309,Белгород,Суши,203.0,10.0,6.0
31896,23117,Белгород,Шашлыки,166.0,5.0,3.0
11474,6836,Белгород,Суши,663.0,10.0,13.0
37234,27309,Белгород,Пицца,45.0,1.0,0.0
36060,26606,Белгород,Суши,416.0,4.0,3.0
15822,10019,Белгород,Японская,183.0,1.0,1.0
35477,26234,Белгород,Русская,158.0,1.0,2.0
36254,26734,Белгород,Пироги,14.0,0.0,0.0
11476,6836,Белгород,Суши,460.0,4.0,10.0
35804,26427,Белгород,Пицца,27.0,1.0,0.0
37823,27715,Белгород,Шаурма,0.0,1.0,2.0
11471,6836,Белгород,Суши,177.0,1.0,6.0
26825,18960,Белгород,Шашлыки,288.0,5.0,6.0
13553,8298,Брянск,Пицца,320.0,1.0,4.0
36386,26833,Брянск,Суши,65.0,0.0,0.0
36153,26659,Брянск,Шашлыки,177.0,1.0,4.0
36885,27155,Брянск,Суши,84.0,0.0,1.0
33111,24185,Брянск,Суши,266.0,1.0,2.0
35712,26360,Брянск,Пицца,235.0,6.0,2.0
9285,5476,Брянск,Суши,1029.0,9.0,19.0
37587,27539,Брянск,Русская,4.0,1.0,4.0
13549,8298,Брянск,Пицца,207.0,1.0,1.0
9290,5476,Брянск,Суши,300.0,7.0,6.0
