MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
0,365strong/1601,365Strong,2016-10-29,USA,NC,Charlotte,2016 Junior & Senior National Powerlifting Championships
1,365strong/1602,365Strong,2016-11-19,USA,MO,Ozark,Thanksgiving Powerlifting Classic
2,365strong/1603,365Strong,2016-07-09,USA,NC,Charlotte,Charlotte Europa Games
3,365strong/1604,365Strong,2016-06-11,USA,SC,Rock Hill,Carolina Cup Push Pull Challenge
4,365strong/1605,365Strong,2016-04-10,USA,SC,Rock Hill,Eastern USA Challenge
5,365strong/1701,365Strong,2017-04-22,USA,NC,Charlotte,Charlotte Europa Games
6,365strong/1702,365Strong,2017-01-21,USA,GA,Martinez,New Year Challenge
7,365strong/1703,365Strong,2017-06-10,USA,MO,Lake Ozark,Midwest Regionals
8,365strong/1704,365Strong,2017-07-15,USA,SC,Rock Hill,Victory Cup Challenge
9,365strong/1705,365Strong,2017-08-12,USA,NC,Fayetteville,Eastern Regional Championship
10,365strong/1706,365Strong,2017-09-30,USA,IN,Evansville,Ohio Valley Regional Open Powerlifting Championships
11,365strong/1707,365Strong,2017-09-30,USA,IN,Evansville,US Masters Open
12,365strong/1708,365Strong,2017-10-28,USA,NC,Charlotte,2017 Men & Women National Powerlifting Championships
13,365strong/1709,365Strong,2017-12-09,USA,SC,Conway,East Coast Conflict
14,aau/1601,AAU,2016-07-09,USA,CA,San Jose,Kindred NorCal Powerlifting Championships
15,aau/1602,AAU,2016-09-23,USA,NV,Las Vegas,2016 AAU Worlds
16,aau/1701,AAU,2017-02-25,USA,CA,San Diego,So Cal Meet
17,aau/1702,AAU,2017-05-20,USA,CA,Los Angeles,Battle of Los Angeles
18,aau/1703,AAU,2017-02-11,USA,CA,Santa Barbara,Central California Meet
19,aau/1704,AAU,2017-03-18,USA,CA,Santa Clara,American Meet
20,aau/1705,AAU,2017-01-21,USA,NV,Las Vegas,Sin City Powerlifting
21,adfpa/9501,ADFPA,1995-07-15,USA,PA,Wilkes-Barre,Men's Nationals
22,apa/1001,APA,2010-11-13,USA,FL,,Ironfest Challenge
23,apa/1002,APA,2010-04-17,USA,,,Raw Nationals
24,apa/1401,APA,2014-10-04,USA,OR,Portland,Elite Fall Classic
25,apa/1601,APA,2016-01-30,USA,OR,Portland,APA Winter Classic
26,apa/1602,APA,2016-04-16,USA,OR,Clackamas,Elite Spring Challenge District 7 Regionals
27,apa/1701,APA,2017-01-21,USA,AK,Searcy,Rhino Open Championships
28,apa/1702,APA,2017-08-05,USA,MI,Metamora,Michigan Summer Iron Bash
29,apa/1703,APA,2017-07-29,USA,AL,Tuscaloosa,Raw Wars III
30,apa/1704,APA,2017-07-22,USA,MO,Ellisville,Missouri Raw Summer Iron Bash
31,apa/1705,APA,2017-07-15,USA,TX,El Paso,Lone Star Raw Championships
32,apa/1706,APA,2017-05-20,USA,OH,Lebanon,Raw Nationals
33,apa/1707,APA,2017-07-08,USA,AR,Newport,Southern States
34,apa/1708,APA,2017-06-17,USA,NJ,Hillsborough,Garden State Raw Championships
35,apa/1709,APA,2017-06-10,USA,AR,Harrison,Clash of the Iron Warriors
36,apa/1710,APA,2017-05-20,USA,FL,Largo,Blessed Iron Bash
37,apa/1711,APA,2017-05-13,USA,MS,Philadelphia,Mississippi State Championships
38,apa/1712,APA,2017-05-13,USA,VT,Brattleboro,30th Can-Am International Championships
39,apa/1713,APA,2017-04-15,USA,TX,McAllen,Region 6 Championships
40,apa/1714,APA,2017-04-01,USA,TX,El Paso,Sun City Championships
41,apa/1715,APA,2017-02-18,USA,AR,Harrison,Arkansas Raw Championships
